,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Marker
61,-68540.28326753179,-65758.63102181329,-100291.7185773514,-83508.57597691727,-76066.62971575615,-69162.3770192119,-64720.48189884209,-79859.8995637774,-45799.2608307911,-53840.70322998801,-46251.77189728879,-121569.84169123671,-91857.01958620783,-81573.04901755441,-61010.517002405766,-69998.48872405157,0
62,-68540.28326753179,-65758.63102181329,-100291.7185773514,-83508.57597691727,-76066.62971575615,-69162.3770192119,-64720.48189884209,-79859.8995637774,-45799.2608307911,-53840.70322998801,-46251.77189728879,-121569.84169123671,-91857.01958620783,-81573.04901755441,-61010.517002405766,-69998.48872405157,0
63,-68540.28326753179,-65758.63102181329,-100291.7185773514,-83508.57597691727,-76066.62971575615,-69162.3770192119,-64720.48189884209,-79859.8995637774,-45799.2608307911,-53840.70322998801,-46251.77189728879,-121569.84169123671,-91857.01958620783,-81573.04901755441,-61010.517002405766,-69998.48872405157,0
64,-68553.73901769388,-65774.56781560992,-100289.08107150569,-83500.0599622798,-76038.6006282092,-69141.07580674598,-64690.91054092772,-79856.79267129811,-45801.89833663683,-53858.718736018986,-46363.75413700988,-121289.77433321171,-91854.98557746239,-81580.73801764703,-60997.12830747704,-70014.33611087038,0
65,-68553.73901769388,-65774.56781560992,-100289.08107150569,-83500.0599622798,-76038.6006282092,-69141.07580674598,-64690.91054092772,-79856.79267129811,-45801.89833663683,-53858.718736018986,-46363.75413700988,-121289.77433321171,-91854.98557746239,-81580.73801764703,-60997.12830747704,-70014.33611087038,0
66,-68553.73901769388,-65774.56781560992,-100289.08107150569,-83500.0599622798,-76038.6006282092,-69141.07580674598,-64690.91054092772,-79856.79267129811,-45801.89833663683,-53858.718736018986,-46363.75413700988,-121289.77433321171,-91854.98557746239,-81580.73801764703,-60997.12830747704,-70014.33611087038,0
67,-68553.73901769388,-65774.56781560992,-100289.08107150569,-83500.0599622798,-76038.6006282092,-69141.07580674598,-64690.91054092772,-79856.79267129811,-45801.89833663683,-53858.718736018986,-46363.75413700988,-121289.77433321171,-91854.98557746239,-81580.73801764703,-60997.12830747704,-70014.33611087038,0
68,-68522.87125860111,-65728.50087028752,-100251.39603035404,-83477.86468003568,-76009.83393309521,-69111.37033836488,-64653.78429338745,-79815.4866475447,-45775.14329852382,-53807.488537727426,-46406.71418985298,-120444.11843348962,-91823.06728638022,-81531.5418281009,-60950.86019645455,-69999.04751766296,0
69,-68522.87125860111,-65728.50087028752,-100251.39603035404,-83477.86468003568,-76009.83393309521,-69111.37033836488,-64653.78429338745,-79815.4866475447,-45775.14329852382,-53807.488537727426,-46406.71418985298,-120444.11843348962,-91823.06728638022,-81531.5418281009,-60950.86019645455,-69999.04751766296,0
70,-68522.87125860111,-65728.50087028752,-100251.39603035404,-83477.86468003568,-76009.83393309521,-69111.37033836488,-64653.78429338745,-79815.4866475447,-45775.14329852382,-53807.488537727426,-46406.71418985298,-120444.11843348962,-91823.06728638022,-81531.5418281009,-60950.86019645455,-69999.04751766296,0
